コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1301,2020/03,29.4,262519000000,2918000000,70,37.31,1.0,9.0
1332,2020/03,31.2,690016000000,22834000000,8.5,16.87,0.0,6.0
1333,2020/03,25.1,905204000000,17079000000,40,16.79,0.0,1.0
1352,2020/03,15.9,80492000000,839000000,20,36.78,0.0,9.0
1376,2020/05,43.6,58179890000,1487470000,28,29.28,1.0,2.0
1377,2020/05,82.2,61667000000,7482000000,33,24.17,5.0,5.0
1379,2020/03,50.2,71220000000,3923000000,60,124.1,0.0,4.0
1380,2020/03,34.1,5790005000,94446000,5,29.02,0.0,9.0
1381,2020/06,85.7,19770000000,2736000000,85,22.76,5.0,9.0
1382,2020/06,48.3,3230299000,24429000,-,0,0.0,3.0
1383,2020/10,19.5,5197096000,-124479000,10,-,0.0,7.0
1384,2020/03,60.8,13416235000,139967000,10,37.92,0.0,0.0
1400,2020/12,79.9,2626000000,70000000,-,-,0.0,0.0
1401,2020/05,71.7,3345618000,283859000,-,-,0.0,6.0
1407,2020/08,24.7,61947000000,7180000000,34.62,24.9,0.0,0.0
1413,2020/12,29.1,114365000000,6629000000,90,29.88,0.0,6.0
1414,2020/06,81.4,67590000000,12930000000,79.5,46.32,9.0,9.0
1417,2020/03,61.2,441166000000,21993000000,40,26.03,0.0,9.0
1418,2020/02,36.5,19053081000,355703000,4,73.9,0.0,9.0
1419,2020/05,20.8,209207000000,9873000000,70,22.35,3.0,4.0
1420,2020/03,28.5,56351143000,412628000,25,87.85,1.0,6.0
1429,2020/12,47.7,21872000000,1896000000,20,40.91,3.0,6.0
1430,2020/05,33.9,23418849000,1342949000,20,58.19,0.0,4.0
1431,2020/06,57.1,6036233000,144545000,9,67.26,0.0,0.0
1433,2021/01,43,3682000000,124000000,16,92.7,1.0,3.0
1434,2020/08,33.8,8993284000,340830000,15,22.96,3.0,3.0
1436,2020/04,56.5,4735252000,157880000,10,54.15,0.0,0.0
1439,2020/12,32.5,5396000000,29000000,20,-,1.0,2.0
1443,2020/03,63.9,10008698000,1182701000,1,2.47,0.0,1.0
1446,2020/09,40.4,12264654000,421981000,6,32.36,0.0,0.0
1447,2020/03,18.5,21224761000,155826000,-,-,0.0,0.0
1448,2020/03,30.9,85481000000,2483000000,15,92.08,0.0,0.0
1450,2020/03,75.6,6662518000,796263000,40,31.54,0.0,0.0
1451,2020/03,38.1,11805988000,670574000,44,56.14,1.0,1.0
1491,2020/03,82.4,28517805000,-813478000,-,-,0.0,9.0
1514,2020/03,89.4,16679000000,21000000,3,17.34,0.0,9.0
1515,2020/03,57.5,117502000000,7576000000,90,20.25,0.0,0.0
1518,2020/03,52.3,66596000000,2741000000,50,28.49,1.0,5.0
1605,2020/12,59,771046000000,248471000000,24,-,1.0,9.0
1662,2020/03,64.2,318822000000,14283000000,50,11.72,2.0,2.0
1663,2020/12,80.4,58452000000,3625000000,30,26.41,0.0,5.0
1711,2020/03,2.6,2273085000,-167198000,-,-,,
1712,2020/02,57.3,14048000000,1237394000,6,14.87,0.0,9.0
1716,2020/06,77.1,17440076000,2296950000,12.5,7.53,0.0,0.0
1717,2020/03,73.5,4353631000,902962000,21.5,39.33,6.0,9.0
1718,2020/12,49,27260000000,1304000000,100,19.25,1.0,1.0
1719,2020/03,40,378135000000,24699000000,30,35.73,7.0,7.0
1720,2020/03,42.9,322170000000,20315000000,30,21.48,0.0,1.0
